bin_left,bin_right_exclusive,weight_normalized
40,45,1.530551310567551
45,50,1.3023021215402977
50,55,1.106743988387877
55,60,1.009215647718574
60,65,0.9026699169020849
65,70,0.7628953208852335
70,75,0.687931655385052
75,80,0.6976900386133298
